Source,Target,Weight
邓小平,毛泽东,2610
邓小平,陈云,663
邓小平,叶剑英,342
邓小平,邓力群,257
邓小平,胡耀邦,756
邓小平,赵紫阳,740
邓小平,江泽民,408
邓小平,华国锋,979
邓小平,林彪,229
邓小平,江青,264
邓小平,李先念,249
邓小平,王洪文,145
邓小平,胡乔木,261
邓小平,李鹏,172
毛泽东,邓小平,2610
毛泽东,叶剑英,211
毛泽东,林彪,339
毛泽东,华国锋,520
毛泽东,陈云,149
毛泽东,江青,253
毛泽东,王洪文,240
毛泽东,李先念,102
毛泽东,胡乔木,97
毛泽东,邓力群,46
毛泽东,胡耀邦,116
毛泽东,赵紫阳,25
华国锋,赵紫阳,25
华国锋,胡耀邦,123
华国锋,邓小平,979
华国锋,毛泽东,520
华国锋,林彪,36
华国锋,王洪文,51
华国锋,叶剑英,248
华国锋,李先念,102
华国锋,江青,45
华国锋,胡乔木,10
华国锋,陈云,107
陈云,邓小平,663
陈云,叶剑英,40
陈云,胡耀邦,177
陈云,赵紫阳,146
陈云,毛泽东,149
陈云,胡乔木,18
陈云,华国锋,107
陈云,李先念,129
陈云,邓力群,77
陈云,李鹏,17
陈云,江泽民,26
叶剑英,邓小平,342
叶剑英,陈云,40
叶剑英,胡耀邦,38
叶剑英,赵紫阳,10
叶剑英,毛泽东,211
叶剑英,林彪,82
叶剑英,王洪文,41
叶剑英,江青,24
叶剑英,华国锋,248
叶剑英,李先念,47
赵紫阳,陈云,146
赵紫阳,胡耀邦,247
赵紫阳,叶剑英,10
赵紫阳,邓小平,740
赵紫阳,邓力群,62
赵紫阳,华国锋,25
赵紫阳,毛泽东,25
赵紫阳,胡乔木,13
赵紫阳,李先念,26
赵紫阳,李鹏,191
赵紫阳,江泽民,12
邓力群,邓小平,257
邓力群,赵紫阳,62
邓力群,胡耀邦,122
邓力群,胡乔木,85
邓力群,毛泽东,46
邓力群,陈云,77
胡耀邦,陈云,177
胡耀邦,叶剑英,38
胡耀邦,赵紫阳,247
胡耀邦,邓小平,756
胡耀邦,邓力群,122
胡耀邦,华国锋,123
胡耀邦,毛泽东,116
胡耀邦,胡乔木,50
胡耀邦,李先念,22
胡耀邦,林彪,17
胡耀邦,李鹏,30
江泽民,邓小平,408
江泽民,赵紫阳,12
江泽民,陈云,26
江泽民,李先念,18
江泽民,李鹏,28
林彪,毛泽东,339
林彪,叶剑英,82
林彪,邓小平,229
林彪,江青,19
林彪,王洪文,44
林彪,华国锋,36
林彪,胡耀邦,17
江青,毛泽东,253
江青,林彪,19
江青,邓小平,264
江青,李先念,10
江青,王洪文,51
江青,叶剑英,24
江青,华国锋,45
王洪文,林彪,44
王洪文,毛泽东,240
王洪文,华国锋,51
王洪文,邓小平,145
王洪文,叶剑英,41
王洪文,江青,51
李先念,毛泽东,102
李先念,邓小平,249
李先念,江青,10
李先念,华国锋,102
李先念,叶剑英,47
李先念,陈云,129
李先念,胡耀邦,22
李先念,赵紫阳,26
李先念,江泽民,18
胡乔木,邓小平,261
胡乔木,毛泽东,97
胡乔木,邓力群,85
胡乔木,胡耀邦,50
胡乔木,陈云,18
胡乔木,华国锋,10
胡乔木,赵紫阳,13
李鹏,邓小平,172
李鹏,赵紫阳,191
李鹏,陈云,17
李鹏,胡耀邦,30
李鹏,江泽民,28
